City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,birobidzhan,48.8,132.95,50.31,51,100,4.72,RU,1651467854
132,kyren,51.6828,102.1408,71.35,23,74,1.34,RU,1651467855
133,cantagallo,7.376,-73.9196,74.8,98,98,1.92,CO,1651467855
134,thompson,55.7435,-97.8558,21.51,93,100,9.08,CA,1651467856
135,namwala,-15.7504,26.4384,58.06,77,44,4.5,ZM,1651467856
136,vardo,70.3705,31.1107,29.23,86,100,17.43,NO,1651467465
137,atasu,48.6814,71.6433,68.36,37,84,8.66,KZ,1651467857
138,tanete,-3.9443,119.7848,90.73,51,77,11.86,ID,1651467858
139,shache,38.4167,77.2406,77.43,10,6,9.95,CN,1651467858
140,jieshi,22.8134,115.8257,66.94,88,100,12.46,CN,1651467859
141,santa marta,11.2408,-74.199,83.89,76,99,4.0,CO,1651467859
142,lavrentiya,65.5833,-171.0,14.27,86,10,9.95,RU,1651467500
143,vesyegonsk,58.664,37.2604,41.81,66,40,6.08,RU,1651467860
144,yemelyanovo,56.1681,92.6767,52.61,54,0,6.71,RU,1651467860
145,nebolchi,59.1239,33.3454,39.83,76,83,7.83,RU,1651467861
146,upata,8.0086,-62.3989,74.19,84,63,8.16,VE,1651467862
147,georgetown,5.4112,100.3354,87.73,74,20,9.22,MY,1651467735
148,klaksvik,62.2266,-6.589,38.32,69,59,19.8,FO,1651467491
149,char bhadrasan,23.3167,90.2167,91.74,51,60,5.88,BD,1651467862
150,amapa,1.0,-52.0,71.74,99,100,1.77,BR,1651467863
151,chokurdakh,70.6333,147.9167,28.31,93,44,10.38,RU,1651467863
152,esna,25.2934,32.554,83.12,16,5,3.13,EG,1651467864
153,luderitz,-26.6481,15.1594,72.43,28,0,12.71,NA,1651467519
154,buin,-33.7333,-70.75,57.74,63,93,2.15,CL,1651467776
155,nuuk,64.1835,-51.7216,29.01,86,78,6.91,GL,1651467669
156,puerto ayora,-0.7393,-90.3518,71.76,91,13,4.94,EC,1651467865
157,katsuura,35.1333,140.3,59.59,57,75,8.95,JP,1651467866
158,cabo san lucas,22.8909,-109.9124,73.62,77,10,16.22,MX,1651467504
159,cherskiy,68.75,161.3,31.3,87,57,5.57,RU,1651467866
160,la union,-5.4,-80.75,69.3,76,69,13.76,PE,1651467867
161,cape town,-33.9258,18.4232,61.12,82,83,4.09,ZA,1651467791
162,coquimbo,-29.9533,-71.3436,57.56,79,73,4.83,CL,1651467868
163,acajutla,13.5928,-89.8275,81.86,75,96,1.16,SV,1651467685
164,arraial do cabo,-22.9661,-42.0278,74.66,75,0,7.09,BR,1651467868
165,dalvik,65.9702,-18.5286,27.46,72,99,3.4,IS,1651467869
166,sakakah,29.9697,40.2064,69.64,31,0,10.27,SA,1651467869
167,faya,18.3851,42.4509,69.78,37,98,4.12,SA,1651467870
168,lima,-12.0432,-77.0282,65.89,78,0,9.22,PE,1651467337
169,provideniya,64.3833,-173.3,25.97,52,13,12.17,RU,1651467871
170,bandarbeyla,9.4942,50.8122,88.0,61,22,10.4,SO,1651467871
171,grand gaube,-20.0064,57.6608,81.37,70,6,4.0,MU,1651467505
172,husavik,66.0449,-17.3389,27.09,75,100,3.56,IS,1651467515
173,fort morgan,40.2503,-103.8,47.05,76,100,19.57,US,1651467872
174,kayalpattinam,8.5667,78.1167,93.51,49,20,4.61,IN,1651467873
175,shenjiamen,29.9576,122.298,62.2,70,63,7.54,CN,1651467541
176,sinnamary,5.3833,-52.95,77.52,86,78,10.38,GF,1651467873
177,naze,28.3667,129.4833,65.43,54,100,12.01,JP,1651467874
178,stilfontein,-26.8449,26.7683,50.56,33,0,2.04,ZA,1651467874
179,point pleasant,40.0832,-74.0682,56.28,68,100,5.75,US,1651467875
180,eqbaliyeh,35.3022,51.5358,67.82,45,59,5.17,IR,1651467876
181,tandalti,13.0167,31.8667,86.43,32,65,7.34,SD,1651467876
182,ostrovnoy,68.0531,39.5131,24.04,81,80,7.05,RU,1651467508
183,lac-megantic,45.5834,-70.8823,36.55,96,0,4.99,CA,1651467877
184,manicore,-5.8092,-61.3003,71.83,99,52,1.68,BR,1651467878
185,nicoya,10.1483,-85.452,78.78,85,100,2.28,CR,1651467684
186,bengkulu,-3.8004,102.2655,85.44,63,100,5.93,ID,1651467509
187,lazaro cardenas,17.9583,-102.2,74.7,72,43,2.91,MX,1651467602
188,pueblo nuevo,23.3833,-105.3833,50.59,58,91,4.56,MX,1651467879
189,fairbanks,64.8378,-147.7164,49.24,43,100,1.01,US,1651467604
190,saint george,37.1041,-113.5841,63.25,37,0,4.0,US,1651467879
191,chhabra,24.6667,76.8333,100.65,19,15,10.8,IN,1651467880
192,atherton,53.5237,-2.4935,52.29,92,100,0.22,GB,1651467881
193,acolla,-11.7319,-75.5463,45.0,85,76,2.44,PE,1651467881
194,sipoo,60.3775,25.2691,43.16,63,0,11.5,FI,1651467882
195,ilulissat,69.2167,-51.1,15.82,67,75,0.0,GL,1651467882
196,morristown,36.214,-83.2949,65.5,74,75,4.61,US,1651467883
197,dawei,14.0833,98.2,80.78,84,100,1.19,MM,1651467883
198,shubarkuduk,49.1447,56.4872,52.41,57,5,13.82,KZ,1651467884
199,namatanai,-3.6667,152.4333,85.03,68,15,6.91,PG,1651467660
200,pevek,69.7008,170.3133,21.58,81,100,5.75,RU,1651467499
201,vila velha,-20.3297,-40.2925,76.95,82,0,8.05,BR,1651467478
202,gravdal,68.1214,13.5031,31.89,100,40,6.91,NO,1651467885
203,laguna,38.421,-121.4238,66.45,47,0,8.05,US,1651467475
204,wanaka,-44.7,169.15,62.11,59,41,1.01,NZ,1651467885
205,viedma,-40.8135,-62.9967,49.24,75,100,7.49,AR,1651467886
206,ambulu,-8.345,113.6058,88.47,63,66,7.92,ID,1651467886
207,leningradskiy,69.3833,178.4167,17.53,88,33,7.31,RU,1651467478
208,kamaishi,39.2667,141.8833,51.76,60,35,4.74,JP,1651467887
209,cape canaveral,28.4058,-80.6048,76.98,80,0,9.22,US,1651467888
210,ingham,42.6,-84.3833,48.9,87,100,5.75,US,1651467888
211,lasa,46.6166,10.7002,42.69,88,39,3.6,IT,1651467499
212,omboue,-1.5746,9.2618,74.39,95,100,5.59,GA,1651467563
213,ponta do sol,32.6667,-17.1,65.01,76,0,4.29,PT,1651467889
214,inhambane,-23.865,35.3833,70.09,78,33,9.71,MZ,1651467890
215,san cristobal,7.7669,-72.225,75.38,96,89,3.2,VE,1651467476
216,payo,-3.7508,103.6372,92.43,51,100,2.51,ID,1651467890
217,bahia honda,22.9036,-83.1592,73.42,84,0,10.18,CU,1651467891
218,kadoma,34.7333,135.5833,70.18,24,34,14.07,JP,1651467735
219,somerset east,-32.7217,25.588,51.01,64,0,2.55,ZA,1651467891
220,carutapera,-1.195,-46.02,75.15,94,100,3.6,BR,1651467892
221,asfi,32.2994,-9.2372,60.01,88,1,12.93,MA,1651467892
222,sitka,57.0531,-135.33,42.06,96,100,1.61,US,1651467711
223,saint-philippe,-21.3585,55.7679,81.21,77,0,5.23,RE,1651467893
224,high level,58.5169,-117.136,41.5,86,83,9.01,CA,1651467661
225,limon,10.0,-83.0333,77.95,86,100,5.59,CR,1651467894
226,vila franca do campo,37.7167,-25.4333,64.2,88,42,3.56,PT,1651467503
227,metro,-5.1131,105.3067,88.66,61,100,9.17,ID,1651467895
228,cairns,-16.9167,145.7667,87.06,74,40,14.97,AU,1651467570
229,guerrero negro,27.9769,-114.0611,59.5,82,28,13.69,MX,1651467895
230,normandin,48.8333,-72.5321,38.73,92,66,4.09,CA,1651467896
231,puerto madryn,-42.7692,-65.0385,52.27,68,100,13.6,AR,1651467896
232,puerto colombia,10.9878,-74.9547,81.81,86,100,10.83,CO,1651467897
233,kisanga,-7.4362,37.7034,73.58,87,100,3.74,TZ,1651467897
234,santa cruz,-17.8,-63.1667,72.61,73,40,6.8,BO,1651467610
235,muhos,64.808,25.9931,40.78,85,100,10.51,FI,1651467898
236,jardim,-21.4803,-56.1381,74.71,52,60,3.65,BR,1651467785
237,jalu,29.0331,21.5482,71.04,50,89,18.32,LY,1651467899
238,port hardy,50.6996,-127.4199,47.19,91,100,4.9,CA,1651467899
239,namibe,-15.1961,12.1522,71.6,74,27,5.55,AO,1651467675
240,gao,16.6362,1.637,79.65,13,23,10.13,ML,1651467900
241,mehamn,71.0357,27.8492,28.31,91,99,21.39,NO,1651467900
242,pacific grove,36.6177,-121.9166,53.87,85,3,14.0,US,1651467505
243,berlevag,70.8578,29.0864,28.35,74,75,14.97,NO,1651467793
244,seybaplaya,19.65,-90.6667,78.51,74,19,11.48,MX,1651467901
245,pemangkat,1.1667,108.9667,87.98,65,97,10.56,ID,1651467902
246,reconquista,-29.15,-59.65,58.15,96,100,8.95,AR,1651467661
247,grindavik,63.8424,-22.4338,37.87,75,0,11.5,IS,1651467903
248,yar-sale,66.8333,70.8333,20.68,76,13,5.57,RU,1651467688
249,dunedin,-45.8742,170.5036,60.8,66,23,1.01,NZ,1651467903
250,lobito,-12.3481,13.5456,75.09,84,63,0.74,AO,1651467904
251,waiouru,-39.4833,175.6667,52.07,82,100,2.57,NZ,1651467904
